Move number,White Moves,Black Moves
1,Nc3,g6
2,Ne4,Bg7
3,Nf3,d5
4,Ng3,e5
5,d3,f5
6,Bg5,Qd7
7,c3,f4
8,Nxe5,Bxe5
9,Bxf4,Bxf4
10,Ne4,dxe4
11,dxe4,Qxd1+
12,Kxd1,Nf6
13,g3,Nxe4
14,gxf4,Nxf2+
15,Ke1,Nxh1
16,e3,O-O
17,Bc4+,Kg7
18,Kd2,Nf2
19,Rg1,Ne4+
20,Kc2,Bf5
21,h4,Nd6+
22,Kb3,Nc6
23,Bd3,Bxd3
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,d3,e5
2,e4,Nc6
3,Qd2,Nd4
4,Nc3,h6
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,b4,d5
2,Nc3,d4
3,Nb5,Qd5
4,Nc3,Qd6
5,Ne4,Qd5
6,Nc5,e5
7,Nb3,Nc6
8,c3,Nf6
9,cxd4,Nxd4
10,Na5,b6
11,Ba3,bxa5
12,Qa4+,Bd7
13,b5,Bxb5
14,Qxa5,Bxa3
15,Qxa3,c5
16,Rb1,O-O
17,Rxb5,Nxb5
18,Qg3,Qxa2
19,d3,Nc3
20,e4,Rab8
21,Qxe5,Rb2
22,Qxc3,Qa1+
23,Qc1,Qxc1#
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,a4,e5
2,a5,Bc5
3,Nc3,Qf6
4,e3,Nc6
5,Nd5,Qd6
6,Nc3,Nf6
7,d4,Bb4
8,Bd2,exd4
9,exd4,Nxd4
10,Ra4,Qe6+
11,Nge2,Nxe2
12,Bxe2,Bc5
13,b4,Bd4
14,f4,O-O
15,Rf1,Re8
16,f5,Qe5
17,b5,Bxc3
18,b6,axb6
19,axb6,Rxa4
20,bxc7,Bxd2+
21,Qxd2,Ra1+
22,Kf2,Ne4+
23,Ke3,Nxd2+
24,Kxd2,Qxe2+
25,Kc3,Re3+
26,Kb4,Qxf1
27,g4,Qb1+
28,Kc4,Qxc2+
29,Kd5,Qd2+
30,Kc5,Rc3+
31,Kb5,Qb2#
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,h4,e5
2,Rh3,d5
3,Re3,Nc6
4,Nc3,d4
5,Re4,dxc3
6,bxc3,Bf5
7,Rc4,Nf6
8,d4,Be7
9,dxe5,Nxe5
10,Rc5,Qxd1+
11,Kxd1,Bxc5
12,Nf3,O-O-O+
13,Nd2,Bxf2
14,Rb1,Nd5
15,c4,Nc3#
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,Nf3,g6
2,d4,Bg7
3,c3,d6
4,Nbd2,e6
5,e3,c5
6,Bb5+,Bd7
7,Bxd7+,Qxd7
8,dxc5,dxc5
9,O-O,Nf6
10,b4,cxb4
11,cxb4,Ne4
12,Nxe4,Qxd1
13,Rxd1,Bxa1
14,Nf6+,Bxf6
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,e4,e5
2,Nf3,Nc6
3,d3,Bc5
4,Bg5,f6
5,Bh4,d6
6,Be2,Nh6
7,c3,Ng4
8,d4,exd4
9,cxd4,Nxd4
10,Nxd4,Qe7
11,h3,Qxe4
12,hxg4,Qxg2
13,Bf3,Bb4+
14,Nd2,Bxd2+
15,Kxd2,Qxf2+
16,Kd3,Qxb2
17,Qe1+,Kf7
18,Bd5+,Kf8
19,Ne6+,Bxe6
20,Bxe6,Re8
21,Rb1,Qa3+
22,Rb3,Qa6+
23,Kd2,Qxa2+
24,Kc3,g5
25,Bf2,Qa5+
26,Rb4,Kg7
27,Kc4,Re7
28,Rxb7,Qa6+
29,Kd5,Qxb7+
30,Kd4,Rhe8
31,Qb1,Qxb1
32,Rxb1,Rxe6
33,Rb7,Re4+
34,Kd5,Re8e5+
35,Kc6,Kh6
36,Rxc7,Rxg4
37,Kxd6,Rg2
38,Bxa7,Rd2+
39,Kc6,Rc2+
40,Kd7,Rxc7+
41,Kxc7,g4
42,Bf2,f5
43,Bg3,Re3
44,Bf4+,Kh5
45,Bxe3,g3
46,Bg1,f4
47,Kd6,Kg4
48,Ke5,f3
49,Ke4,f2
50,Bxf2,gxf2
51,Ke3,f1=Q
52,Kd4,Qe1
53,Kd3,Kf3
54,Kd4,Kf4
55,Kd5,h5
56,Kc6,h4
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,d4,e6
2,e3,d6
3,Nc3,c6
4,Nf3,g6
5,g4,Nh6
6,h3,f6
7,Ne4,b6
8,Bc4,a5
9,g5,fxg5
10,Nfxg5,d5
11,Nxe6,Qe7
12,Nf6+,Qxf6
13,Nc7+,Kd7
14,Nxa8,c5
15,Bxd5,cxd4
16,exd4,Qd6
17,a3,Qxd5
18,c3,Nf5
19,Nxb6+,Kc7
20,Nxd5+,Kb7
21,Qf3,Nh4
22,Qf7+,Ka8
23,Nc7+,Ka7
24,Nb5+,Ka6
25,Qa7+,Kxb5
26,Qxb8+,Bb7
27,Qxb7+,Ka4
28,Qd5,Nf3+
29,Qxf3,Bd6
30,Qf6,Re8+
31,Kf1,Bc7
32,Qc6+,Kb3
33,Qxc7,h5
34,Qxa5,Kc2
35,Qb5,Rc8
36,Bg5,Rc7
37,Bf4,Re7
38,Re1,h4
39,b4,Kb3
40,Rxe7,Kxa3
41,Ra7+,Kb2
42,c4,Kc2
43,c5,Kc3
44,Qc6,Kxd4
45,Qxg6,Kc4
46,Qe4+,Kc3
47,Ra3+,Kb2
48,Qe3,Kb1
[,R,e,s,u,l,t, ,"""",1,/,2,-,1,/,2,"""",]

1,e4,e5
2,Nf3,Nc6
3,d4,d6
4,h3,Nf6
5,dxe5,dxe5
6,Qxd8+,Nxd8
7,Nc3,Bb4
8,Bd2,Nc6
9,O-O-O,Bxc3
10,Bxc3,Nxe4
11,Be1,O-O
12,Bc4,a6
13,Bd5,Be6
14,Bxe4,Bxa2
15,b3,Nd4
16,Nxd4,exd4
17,Rxd4,c6
18,Rd1,Rad8
19,Bf3,Rxd1+
20,Bxd1,a5
21,Bc3,Ra8
22,Bf3,a4
23,bxa4,Rxa4
24,Rd1,g6
[,R,e,s,u,l,t, ,"""",1,-,0,"""",]

1,e3,e5
2,b3,d6
3,d3,c5
4,g3,Ne7
5,Nf3,d5
6,Nc3,d4
7,exd4,Bg4
8,dxc5,Nd5
9,h4,Nxc3
10,Qd2,Nd5
11,c3,Bxf3
12,Rh2,Bxc5
13,c4,Ne7
14,Qc3,Bd4
15,Qd2,Bxa1
16,Bb2,Bxb2
17,Qc2,Bd4
18,c5,b6
19,g4,bxc5
20,Rh3,Bxg4
21,Rg3,f5
22,b4,cxb4
23,h5,g6
24,h6,Nd7
25,Rg1,Rc8
26,Qa4,a5
27,Qxa5,Qxa5
28,Bg2,Qxa2
29,Bb7,Rc1#
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,e4,c5
2,Bc4,e6
3,Qh5,Nf6
4,Qf3,a6
5,h3,b5
6,Bb3,c4
7,e5,Nd5
8,Nc3,cxb3
9,Nxd5,exd5
10,Qxd5,Nc6
11,cxb3,Qc7
12,d4,Bb7
13,Bf4,Nb4
14,e6,Nc2+
15,Kd2,Qxf4+
16,Kxc2,Qxf2+
17,Kb1,Bxd5
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,d4,d5
2,Be3,e6
3,g3,Nf6
4,Bh3,Bb4+
5,c3,Bd6
6,Nd2,O-O
7,c4,dxc4
8,Nxc4,Bb4+
9,Nd2,Nd5
10,Bg2,Nxe3
11,fxe3,c5
12,Be4,cxd4
13,Bb1,dxe3
14,Qc2,Qxd2+
15,Kf1,Qe1+
16,Kg2,Qf2+
17,Kh3,Qf1+
18,Kh4,Be7+
19,Kh5,g6+
20,Kg4,h5#
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,d3,e6
2,h4,c5
3,Bg5,f6
4,f4,Qb6
5,f5,Qxb2
6,fxe6,dxe6
7,Bf4,Qxa1
8,d4,cxd4
9,Bxb8,Rxb8
10,g4,Bb4+
11,c3,Bxc3+
12,Nxc3,Qxc3+
13,Kf2,Qe3+
14,Kg2,Qe4+
15,Nf3,Nh6
16,Qxd4,Qxd4
17,Nxd4,Nxg4
18,e3,Nxe3+
19,Kf2,Nxf1
20,Rg1,O-O
21,Rxf1,a5
22,Rg1,b6
23,h5,e5
24,Nf3,g5
25,hxg6,hxg6
26,Rxg6+,Kf7
27,Nh4,Rg8
28,Rxg8,Kxg8
29,Ng6,Kg7
30,Ne7,Be6
31,Nc6,Rc8
32,Ne7,Rc2+
33,Ke3,Rxa2
34,Nc8,b5
35,Ne7,b4
36,Nc6,Bf7
37,Nd8,b3
38,Kf3,b2
39,Kg4,b1=Q
40,Nc6,Qg6+
41,Kh3,Be6+
42,Kh4,Rh2#
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,e4,e5
2,Nf3,Nc6
3,h4,Nf6
4,b4,Nxe4
5,b5,Nd4
6,Nxe5,d5
7,d3,Bd6
8,f4,Ng3
9,Rh3,Nxf1
10,Kxf1,O-O
11,c3,Bxh3
12,gxh3,Nf5
13,Ba3,Ng3+
14,Kg2,Qxh4
15,c4,Bxe5
16,fxe5,Rae8
17,cxd5,Rxe5
18,Bxf8,Kxf8
19,d4,Rxd5
20,Nc3,Rg5
21,Qf3,Ne4+
22,Kh2,Nxc3
23,Qxc3,Qf2+
24,Kh1,Qg2#
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,d4,d5
2,e3,h6
3,g4,Nf6
4,h3,h5
5,f3,hxg4
6,fxg4,Bxg4
7,Be2,Bxe2
8,Qxe2,Ne4
9,Nf3,Ng3
10,Qb5+,Qd7
11,Qxb7,Qc6
[,R,e,s,u,l,t, ,"""",1,-,0,"""",]

1,d4,Nc6
2,Nf3,d5
3,Nc3,e6
4,Be3,f5
5,Qd3,Bb4
6,O-O-O,a6
7,g3,b6
8,h4,g6
9,Bh3,Qf6
10,g4,b5
11,g5,Qf8
12,Rdg1,Na5
13,Kd1,Nc4
14,Ke1,Nxb2
15,Kf1,Bxc3
16,Qxc3,Nd1
17,Qd2,Nb2
18,Qc1,Qa3
19,h5,b4
20,hxg6,hxg6
21,Ne5,Nc4
22,Qd1,Nxe3+
23,fxe3,Qxe3
24,Nxg6,Rxh3
25,Rxh3,Qxh3+
26,Kf2,Qc3
27,Rg3,Qc4
28,Ne5,Qb5
29,g6,Nf6
30,g7,Ne4+
31,Kf3,Nf6
32,g8=Q+,Nxg8
33,Rxg8+,Ke7
34,Ng6+,Kf6
35,Nh4,e5
36,Rg6+,Ke7
37,Qg1,e4+
38,Kf4,Qxe2
39,Rg7+,Kf6
[,R,e,s,u,l,t, ,"""",1,-,0,"""",]

1,d4,d5
2,c4,e6
3,Nf3,Nf6
4,g3,Bd7
5,Ne5,Nc6
6,Bg2,Nxe5
7,dxe5,Ng8
8,cxd5,exd5
9,Bxd5,c6
10,Bg2,Qe7
11,f4,O-O-O
12,Be3,Kb8
13,Qa4,Qb4+
14,Nc3,Qxa4
15,Nxa4,Bb4+
16,Kf2,Ba5
17,Rhd1,f6
18,Nc5,fxe5
19,Rxd7,Rxd7
20,Nxd7+,Ka8
21,Nxe5,Nf6
22,Rd1,Rd8
23,Rxd8+,Bxd8
24,h3,Nd5
25,Bxd5,cxd5
26,Bd4,g6
27,Nd7,a6
28,Nf6,Bxf6
29,Bxf6,Kb8
30,Ke3,Kc7
31,Kd4,Kc6
32,b4,Kd6
33,Be5+,Kc6
34,a4,b6
35,e3,h5
36,h4,b5
37,a5,Kd7
38,Kxd5,Ke7
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,e4,e5
2,Nf3,d6
3,Nc3,Bg4
4,Be2,Bxf3
5,Bxf3,h6
6,b3,g6
7,Bb2,h5
8,Na4,g5
9,c3,g4
10,Be2,Nf6
11,d4,Nbd7
12,dxe5,Nxe5
13,Bb5+,c6
14,Be2,b5
15,f4,Ng6
16,f5,Nh4
17,c4,bxa4
18,bxa4,Nxg2+
19,Kf2,Nf4
20,c5,dxc5
21,Qxd8+,Rxd8
22,e5,Nd7
23,e6,fxe6
24,Bxh8,exf5
25,a5,Nb8
26,Be5,Na6
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,e4,d5
2,exd5,Qxd5
3,b3,Qe5+
4,Be2,Qxa1
5,Nc3,g6
6,Bb5+,c6
7,Be2,Bg7
8,Nf3,Bxc3
9,dxc3,Qxc3+
10,Bd2,Qc5
11,Qa1,f6
12,Be3,Qa5+
13,Nd2,Qf5
14,g4,Qd5
15,Bf3,Qd6
